match_id,date,team_1,team_2,winner,result,venue,city,toss_winner,toss_decision,by_runs,by_wickets
1393310,2023-08-20,Tanzania,Uganda,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,bat,,6.0
1393311,2023-08-21,Uganda,Tanzania,Tanzania,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,,3.0
1393312,2023-08-22,Uganda,Rwanda,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,61.0,
1393328,2023-08-22,Rwanda,Tanzania,Tanzania,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,field,,7.0
1393313,2023-08-24,Uganda,Rwanda,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,86.0,
1393314,2023-08-24,Uganda,Tanzania,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,field,60.0,
1393315,2023-08-25,Rwanda,Tanzania,Tanzania,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,field,,1.0
1393316,2023-08-27,Rwanda,Uganda,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,bat,,6.0
1393317,2023-08-28,Uganda,Tanzania,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,59.0,
1393318,2023-08-28,Rwanda,Uganda,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,bat,,8.0
1393329,2023-08-25,Uganda,Tanzania,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,19.0,
1393330,2023-08-27,Tanzania,Rwanda,Tanzania,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,9.0,
1336048,2023-08-30,New Zealand,England,England,,"Riverside Ground, Chester-le-Street",Chester-le-Street,England,field,,7.0
1373568,2023-08-30,Australia,South Africa,Australia,,"Kingsmead, Durban",Durban,South Africa,field,111.0,
1393319,2023-08-30,Uganda,Tanzania,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,field,19.0,
1393331,2023-08-30,Tanzania,Rwanda,Tanzania,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,61.0,
1393320,2023-08-31,Rwanda,Uganda,Uganda,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,bat,,8.0
1393332,2023-08-31,Tanzania,Rwanda,Tanzania,,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,bat,49.0,
1336049,2023-09-01,England,New Zealand,England,,"Old Trafford, Manchester",Manchester,England,bat,95.0,
1336050,2023-09-03,New Zealand,England,New Zealand,,"Edgbaston, Birmingham",Birmingham,New Zealand,bat,74.0,
1373569,2023-09-01,South Africa,Australia,Australia,,"Kingsmead, Durban",Durban,Australia,field,,8.0
1373570,2023-09-03,South Africa,Australia,Australia,,"Kingsmead, Durban",Durban,South Africa,bat,,5.0
1336051,2023-09-05,England,New Zealand,New Zealand,,"Trent Bridge, Nottingham",Nottingham,England,bat,,6.0
1392803,2023-09-15,Qatar,Bahrain,Qatar,,"West End Park International Cricket Stadium, Doha",Doha,Bahrain,field,19.0,
1392808,2023-09-18,Qatar,Kuwait,Qatar,,"West End Park International Cricket Stadium, Doha",Doha,Kuwait,field,1.0,
1399104,2023-09-27,Nepal,Mongolia,Nepal,,Zhejiang University of Technology Cricket Field,Hangzhou,Mongolia,field,273.0,
1399138,2023-09-28,Qatar,Kuwait,Kuwait,,"West End Park International Cricket Stadium, Doha",Doha,Kuwait,field,,7.0
1399140,2023-09-29,Maldives,Kuwait,Kuwait,,"West End Park International Cricket Stadium, Doha",Doha,Kuwait,field,,7.0
1391338,2023-09-30,Estonia,Gibraltar,Gibraltar,,Europa Sports Complex,Gibraltar,Gibraltar,field,,2.0
1391339,2023-09-30,Gibraltar,Estonia,Estonia,,Europa Sports Complex,Gibraltar,Estonia,field,,8.0
1399113,2023-10-03,India,Nepal,India,,Zhejiang University of Technology Cricket Field,Hangzhou,India,bat,23.0,
1399142,2023-10-01,Maldives,Qatar,Qatar,,"West End Park International Cricket Stadium, Doha",Doha,Qatar,field,,9.0
1399143,2023-10-01,Kuwait,Saudi Arabia,Saudi Arabia,,"West End Park International Cricket Stadium, Doha",Doha,Kuwait,bat,,3.0
1399144,2023-10-02,Qatar,Kuwait,Kuwait,,"West End Park International Cricket Stadium, Doha",Doha,Kuwait,field,,5.0
1399145,2023-10-02,Maldives,Saudi Arabia,Saudi Arabia,,"West End Park International Cricket Stadium, Doha",Doha,Maldives,bat,,9.0
1399146,2023-10-04,Maldives,Kuwait,Kuwait,,"West End Park International Cricket Stadium, Doha",Doha,Kuwait,field,,8.0
1399148,2023-10-05,Qatar,Maldives,Qatar,,"West End Park International Cricket Stadium, Doha",Doha,Maldives,field,42.0,
1399149,2023-10-05,Saudi Arabia,Kuwait,Kuwait,,"West End Park International Cricket Stadium, Doha",Doha,Kuwait,field,,4.0
1399150,2023-09-30,Bermuda,Canada,Bermuda,,"White Hill Field, Sandys Parish",Hamilton,Canada,field,86.0,
1399151,2023-09-30,Panama,Cayman Islands,Cayman Islands,,"White Hill Field, Sandys Parish",Hamilton,Panama,bat,,7.0
1399152,2023-10-01,Panama,Bermuda,Bermuda,,"White Hill Field, Sandys Parish",Hamilton,Panama,bat,,7.0
1399153,2023-10-01,Canada,Cayman Islands,Canada,,"White Hill Field, Sandys Parish",Hamilton,Canada,bat,108.0,
1399154,2023-10-03,Canada,Panama,Canada,,"National Stadium, Hamilton",Hamilton,Canada,bat,163.0,
1399155,2023-10-03,Bermuda,Cayman Islands,Bermuda,,"National Stadium, Hamilton",Hamilton,Bermuda,bat,53.0,
1399156,2023-10-04,Canada,Cayman Islands,Canada,,"National Stadium, Hamilton",Hamilton,Canada,bat,166.0,
1399157,2023-10-04,Panama,Bermuda,Bermuda,,"National Stadium, Hamilton",Hamilton,Bermuda,field,,5.0
1399161,2023-10-07,Canada,Bermuda,Canada,,"National Stadium, Hamilton",Hamilton,Canada,bat,39.0,
1400053,2023-10-05,Serbia,Gibraltar,Gibraltar,,Europa Sports Complex,Gibraltar,Gibraltar,field,,7.0
