match_id,date,team_1,team_2,elo_team_1,elo_team_2,elo_diff
1488341,2025-06-14,Denmark,Norway,1494.5251694295762,1518.0515833020395,-23.52641387246331
1488342,2025-06-14,Sweden,Finland,1480.6606020126737,1467.94082009905,12.71978191362382
1488322,2025-06-14,Cambodia,Indonesia,1472.1544080868382,1417.7422445163277,54.41216357051053
1485938,2025-06-15,Scotland,Netherlands,1535.5698824587193,1541.953312252315,-6.383429793595724
1488327,2025-06-15,Cayman Islands,Bahamas,1460.49155794204,1450.1409835298018,10.350574412238075
1488344,2025-06-15,Finland,Norway,1458.3067613727683,1527.3754717426789,-69.0687103699106
1488326,2025-06-15,Canada,Bermuda,1562.943742775848,1604.8041828683472,-41.860440092499175
1488343,2025-06-15,Sweden,Norway,1490.2946607389554,1515.4132948521114,-25.118634113156077
1488325,2025-06-15,Indonesia,Cambodia,1429.2956729110833,1460.6009796920825,-31.305306780999217
1472516,2025-06-15,West Indies,Ireland,1533.109660803418,1495.0336314769515,38.07602932646637
1488324,2025-06-15,Indonesia,Cambodia,1420.1942815360626,1469.7023710671033,-49.508089531040696
1488329,2025-06-16,Bahamas,Bermuda,1440.438808905237,1593.6051388792378,-153.16632997400075
1488328,2025-06-16,Canada,Cayman Islands,1574.1427867649575,1470.1937325666047,103.94905419835277
1490239,2025-06-16,Cambodia,Indonesia,1478.2869806132926,1411.6096719898733,66.67730862341932
1485940,2025-06-17,Scotland,Nepal,1545.7535916663767,1578.981524030609,-33.2279323642324
1488330,2025-06-18,Cayman Islands,Bermuda,1463.0994390993926,1599.4616667466491,-136.36222764725653
1485942,2025-06-18,Netherlands,Scotland,1531.7696030446577,1536.7070632125133,-4.937460167855534
1488331,2025-06-18,Bahamas,Canada,1434.5822810378256,1581.2370802321695,-146.65479919434392
1488333,2025-06-19,Canada,Cayman Islands,1587.2500451131486,1456.8344190943983,130.41562601875034
1488332,2025-06-19,Bermuda,Bahamas,1605.7266867516435,1428.5693161568465,177.15737059479693
1485941,2025-06-19,Netherlands,Nepal,1541.911705005878,1588.0280524844725,-46.116347478594435
1485943,2025-06-20,Scotland,Nepal,1526.564961251293,1596.7084578409601,-70.14349658966717
1488335,2025-06-21,Bermuda,Cayman Islands,1611.0280147233746,1450.421185652262,160.60682907111254
1488334,2025-06-21,Bahamas,Canada,1423.2679881851154,1593.663278555285,-170.3952903701695
1486787,2025-06-21,Hungary,Slovenia,1484.5051461920746,1409.0488550975651,75.45629109450942
1487632,2025-06-21,Switzerland,Luxembourg,1527.1273763576505,1433.5040066105605,93.62336974709001
1487631,2025-06-21,Switzerland,Luxembourg,1534.4960629634718,1426.1353200047392,108.36074295873254
1486786,2025-06-21,Hungary,Slovenia,1492.3668535744448,1401.187147715195,91.1797058592499
1487633,2025-06-22,Switzerland,Luxembourg,1541.4745323630534,1419.1568506051576,122.3176817578958
1488336,2025-06-22,Cayman Islands,Bahamas,1464.7404588618997,1417.8136207881062,46.92683807379353
1486788,2025-06-22,Slovenia,Hungary,1393.752876324995,1499.8011249646447,-106.04824863964973
1490882,2025-06-26,France,Malta,1517.6680414107827,1390.0150050125876,127.65303639819513
1490884,2025-06-26,Belgium,Malta,1549.5619466179126,1403.5322905119513,146.0296561059613
1490887,2025-06-27,Hungary,Romania,1506.840197689308,1559.7661668019014,-52.92596911259329
1490885,2025-06-27,Hungary,Austria,1498.3518547143156,1591.492864233193,-93.14100951887735
1490886,2025-06-27,Belgium,France,1555.5900551525838,1504.150755911419,51.43929924116469
1490888,2025-06-28,Belgium,Austria,1564.1202369409202,1598.874477733242,-34.75424079232175
1490889,2025-06-28,Malta,Romania,1397.50418197728,1568.2545097768939,-170.75032779961384
1490890,2025-06-29,Hungary,France,1490.9702412142665,1495.6205741230826,-4.650332908816154
1490471,2025-07-05,Jersey,Netherlands,1593.7115651187128,1533.2312996493904,60.480265469322376
1490472,2025-07-05,Guernsey,Italy,1544.4850813690234,1574.990319976655,-30.505238607631554
1492880,2025-07-05,Malawi,Germany,1486.3076310425306,1558.3901135469441,-72.08248250441352
1490870,2025-07-06,Philippines,Indonesia,1447.1333971467654,1423.5055804046951,23.62781674207031
1492881,2025-07-06,Bahrain,Germany,1587.5145437797166,1566.3446768609547,21.169866918761954
1492883,2025-07-07,Tanzania,Germany,1536.4430665982795,1556.9532416614481,-20.510175063168617
1492884,2025-07-07,Malawi,Bahrain,1478.35306772852,1596.9059789792232,-118.55291125070312
